areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,West Midlands,E12000005,2020-08-31,0,30563
region,West Midlands,E12000005,2020-08-30,55,30563
region,West Midlands,E12000005,2020-08-29,97,30508
region,West Midlands,E12000005,2020-08-28,140,30411
region,West Midlands,E12000005,2020-08-27,131,30271
region,West Midlands,E12000005,2020-08-26,120,30140
region,West Midlands,E12000005,2020-08-25,141,30020
region,West Midlands,E12000005,2020-08-24,130,29879
region,West Midlands,E12000005,2020-08-23,80,29749
region,West Midlands,E12000005,2020-08-22,76,29669
region,West Midlands,E12000005,2020-08-21,105,29593
region,West Midlands,E12000005,2020-08-20,163,29488
region,West Midlands,E12000005,2020-08-19,118,29325
region,West Midlands,E12000005,2020-08-18,109,29207
region,West Midlands,E12000005,2020-08-17,138,29098
region,West Midlands,E12000005,2020-08-16,72,28960
region,West Midlands,E12000005,2020-08-15,96,28888
region,West Midlands,E12000005,2020-08-14,171,28792
region,West Midlands,E12000005,2020-08-13,117,28621
region,West Midlands,E12000005,2020-08-12,132,28504
region,West Midlands,E12000005,2020-08-11,165,28372
region,West Midlands,E12000005,2020-08-10,157,28207
region,West Midlands,E12000005,2020-08-09,76,28050
region,West Midlands,E12000005,2020-08-08,73,27974
region,West Midlands,E12000005,2020-08-07,105,27901
region,West Midlands,E12000005,2020-08-06,113,27796
region,West Midlands,E12000005,2020-08-05,93,27683
region,West Midlands,E12000005,2020-08-04,98,27590
region,West Midlands,E12000005,2020-08-03,88,27492
region,West Midlands,E12000005,2020-08-02,42,27404
region,West Midlands,E12000005,2020-08-01,54,27362
region,West Midlands,E12000005,2020-07-31,81,27308
region,West Midlands,E12000005,2020-07-30,80,27227
region,West Midlands,E12000005,2020-07-29,90,27147
region,West Midlands,E12000005,2020-07-28,88,27057
region,West Midlands,E12000005,2020-07-27,77,26969
region,West Midlands,E12000005,2020-07-26,66,26892
region,West Midlands,E12000005,2020-07-25,67,26826
region,West Midlands,E12000005,2020-07-24,78,26759
region,West Midlands,E12000005,2020-07-23,90,26681
region,West Midlands,E12000005,2020-07-22,78,26591
region,West Midlands,E12000005,2020-07-21,80,26513
region,West Midlands,E12000005,2020-07-20,83,26433
region,West Midlands,E12000005,2020-07-19,40,26350
region,West Midlands,E12000005,2020-07-18,51,26310
region,West Midlands,E12000005,2020-07-17,67,26259
region,West Midlands,E12000005,2020-07-16,65,26192
region,West Midlands,E12000005,2020-07-15,107,26127
region,West Midlands,E12000005,2020-07-14,71,26020
region,West Midlands,E12000005,2020-07-13,78,25949
region,West Midlands,E12000005,2020-07-12,38,25871
region,West Midlands,E12000005,2020-07-11,40,25833
region,West Midlands,E12000005,2020-07-10,43,25793
region,West Midlands,E12000005,2020-07-09,124,25750
region,West Midlands,E12000005,2020-07-08,65,25626
region,West Midlands,E12000005,2020-07-07,61,25561
region,West Midlands,E12000005,2020-07-06,52,25500
region,West Midlands,E12000005,2020-07-05,36,25448
region,West Midlands,E12000005,2020-07-04,23,25412
region,West Midlands,E12000005,2020-07-03,41,25389
region,West Midlands,E12000005,2020-07-02,55,25348
region,West Midlands,E12000005,2020-07-01,50,25293
region,West Midlands,E12000005,2020-06-30,51,25243
region,West Midlands,E12000005,2020-06-29,57,25192
region,West Midlands,E12000005,2020-06-28,26,25135
region,West Midlands,E12000005,2020-06-27,44,25109
region,West Midlands,E12000005,2020-06-26,69,25065
region,West Midlands,E12000005,2020-06-25,56,24996
region,West Midlands,E12000005,2020-06-24,54,24940
region,West Midlands,E12000005,2020-06-23,53,24886
region,West Midlands,E12000005,2020-06-22,68,24833
region,West Midlands,E12000005,2020-06-21,38,24765
region,West Midlands,E12000005,2020-06-20,48,24727
region,West Midlands,E12000005,2020-06-19,52,24679
region,West Midlands,E12000005,2020-06-18,83,24627
region,West Midlands,E12000005,2020-06-17,80,24544
region,West Midlands,E12000005,2020-06-16,105,24464
region,West Midlands,E12000005,2020-06-15,102,24359
region,West Midlands,E12000005,2020-06-14,75,24257
region,West Midlands,E12000005,2020-06-13,86,24182
region,West Midlands,E12000005,2020-06-12,76,24096
region,West Midlands,E12000005,2020-06-11,92,24020
region,West Midlands,E12000005,2020-06-10,92,23928
region,West Midlands,E12000005,2020-06-09,101,23836
region,West Midlands,E12000005,2020-06-08,120,23735
region,West Midlands,E12000005,2020-06-07,64,23615
region,West Midlands,E12000005,2020-06-06,77,23551
region,West Midlands,E12000005,2020-06-05,103,23474
region,West Midlands,E12000005,2020-06-04,136,23371
region,West Midlands,E12000005,2020-06-03,125,23235
region,West Midlands,E12000005,2020-06-02,125,23110
region,West Midlands,E12000005,2020-06-01,124,22985
region,West Midlands,E12000005,2020-05-31,77,22861
region,West Midlands,E12000005,2020-05-30,116,22784
region,West Midlands,E12000005,2020-05-29,156,22668
region,West Midlands,E12000005,2020-05-28,154,22512
region,West Midlands,E12000005,2020-05-27,194,22358
