date,adm1_name,adm0_name,cum_confirmed_cases,cum_deaths,cum_recoveries,active_cases,lat,lon,active_cases_new,population,business_closure_opt,emergency_declaration,event_cancel,no_demonstration,no_gathering_opt,pos_cases_quarantine,religious_closure,school_closure,social_distance_opt,testing_regime,travel_ban_intl_in_opt,travel_ban_intl_out_opt,welfare_services_closure,work_from_home_opt,travel_ban_intl_in_opt_country_l,travel_ban_intl_out_opt_country_,policies_enacted,t,dow,month,year,day,adm1_id,longest_series,l_active_cases,daily_confirmed_cases,l_cum_confirmed_cases,D_l_active_cases,transmissionrate,D_l_active_cases_raw,testing_change_kor_20feb2020,testing_change_kor_29feb2020,testing_change_kor_22mar2020,testing_change_kor_27mar2020,sample_avg,day_avg,p_kor_1,p_kor_2,p_kor_3,p_kor_4,_reghdfe_resid,__hdfe1__,__hdfe2__,country,D_l_cum_confirmed_cases,cum_confirmed_cases_imputed,cum_hospitalized,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,business_closure,no_gathering,no_gathering_size,school_closure_popwt,l_cum_hospitalized,D_l_cum_hospitalized,testing_change_fra_15mar2020,p_fra_1,no_gathering_5000,no_gathering_1000,no_gathering_100,p_fra_2,p_fra_3
2020-03-06,Busan,KOR,87,0,2,85,35.202,129.081,3,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,06mar2020,5,3,2020,6,Busan,0,4.442651,3,1.098612,0.0365854,0.0365854,0.0359321,0,0,0,0,NA,NA,1,1,0,0,-0.05375412,-0.03437155,0.03390352,KOR,0.0365854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-07,Busan,KOR,88,0,2,86,35.202,129.081,1,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,07mar2020,6,3,2020,7,Busan,0,4.454347,1,0,0.0117647,0.0117647,0.0116959,0,0,0,0,NA,NA,1,1,0,0,-0.04308682,-0.03437155,-0.00158444,KOR,0.0117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-08,Busan,KOR,88,0,9,79,35.202,129.081,0,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,08mar2020,0,3,2020,8,Busan,0,4.369448,0,NA,0,0,-0.0848994,0,0,0,0,NA,NA,1,1,0,0,-0.06025088,-0.03437155,0.00381491,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-09,Busan,KOR,88,0,10,78,35.202,129.081,0,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,09mar2020,1,3,2020,9,Busan,0,4.356709,0,NA,0,0,-0.0127387,0,0,0,0,NA,NA,1,1,0,0,-0.03578908,-0.03437155,-0.02064689,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-10,Busan,KOR,90,0,10,80,35.202,129.081,2,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,10mar2020,2,3,2020,10,Busan,0,4.382027,2,0.6931472,0.025641,0.025641,0.0253177,0,0,0,0,NA,NA,1,1,0,0,-0.02246133,-0.03437155,-0.00833361,KOR,0.025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-11,Busan,KOR,91,0,21,70,35.202,129.081,1,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,1,NA,NA,8,11mar2020,3,3,2020,11,Busan,0,4.248495,1,0,0.0125,0.0125,-0.1335316,0,0,0,0,NA,NA,1,1,0,0,-0.01902378,-0.03437155,-0.0041242,KOR,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-12,Busan,KOR,91,0,29,62,35.202,129.081,0,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,1,NA,NA,8,12mar2020,4,3,2020,12,Busan,0,4.127134,0,NA,0,0,-0.1213608,0,0,0,0,NA,NA,1,1,0,0,-0.03215977,-0.03437155,-0.00348821,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-13,Busan,KOR,94,1,36,57,35.202,129.081,3,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,1,NA,NA,8,13mar2020,5,3,2020,13,Busan,0,4.043051,3,1.098612,0.0483871,0.0483871,-0.0840831,0,0,0,0,NA,NA,1,1,0,0,-0.02116441,-0.03437155,0.03390352,KOR,0.0483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-14,Busan,KOR,96,1,40,55,35.202,129.081,2,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,1,NA,NA,8,14mar2020,6,3,2020,14,Busan,0,4.007333,2,0.6931472,0.0350877,0.0350877,-0.035718,0,0,0,0,NA,NA,1,1,0,0,0.00102418,-0.03437155,-0.00158444,KOR,0.0350877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-15,Busan,KOR,97,1,52,44,35.202,129.081,1,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,1,NA,NA,8,15mar2020,0,3,2020,15,Busan,0,3.78419,1,0,0.0181818,0.0181818,-0.2231436,0,0,0,0,NA,NA,1,1,0,0,-0.02128108,-0.03437155,0.00381491,KOR,0.0181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-16,Busan,KOR,97,1,53,43,35.202,129.081,0,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,16mar2020,1,3,2020,16,Busan,0,3.7612,0,NA,0,0,-0.0229895,0,0,0,0,NA,NA,1,1,0,0,0.00578689,-0.03437155,-0.02064689,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-17,Busan,KOR,98,1,54,43,35.202,129.081,1,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,17mar2020,2,3,2020,17,Busan,0,3.7612,1,0,0.0232558,0.0232558,0,0,0,0,0,NA,NA,1,1,0,0,0.01672942,-0.03437155,-0.00833361,KOR,0.0232558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-18,Busan,KOR,100,1,54,45,35.202,129.081,2,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,18mar2020,3,3,2020,18,Busan,0,3.806663,2,0.6931472,0.0454624,0.0465116,0.0454624,0,0,0,0,NA,NA,1,1,0,0,0.03472657,-0.03437155,-0.0041242,KOR,0.0454624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-19,Busan,KOR,100,1,57,42,35.202,129.081,0,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,19mar2020,4,3,2020,19,Busan,0,3.73767,0,NA,0,0,-0.0689929,0,0,0,0,NA,NA,1,1,0,0,-0.01137179,-0.03437155,-0.00348821,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-20,Busan,KOR,100,1,57,42,35.202,129.081,0,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,20mar2020,5,3,2020,20,Busan,0,3.73767,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,0,-0.04876352,-0.03437155,0.03390352,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-21,Busan,KOR,100,1,59,40,35.202,129.081,0,3410925,0,0,1,0,1,0,1,1,1,5,1,1,1,1,NA,NA,9,21mar2020,6,3,2020,21,Busan,0,3.688879,0,NA,0,0,-0.0487902,0,0,0,0,NA,NA,1,1,0,0,-0.01327556,-0.03437155,-0.00158444,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-22,Busan,KOR,103,1,61,41,35.202,129.081,3,3410925,0,0,1,0,1,0.25,1,1,1,6,1,1,1,1,NA,NA,10,22mar2020,0,3,2020,22,Busan,0,3.713572,3,1.098612,0.075,0.075,0.0246925,0,0,1,0,NA,NA,1,1,0,1,0.06159017,-0.03437155,0.00381491,KOR,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-23,Busan,KOR,103,1,61,41,35.202,129.081,0,3410925,0,0,1,0,1,0.25,1,1,1,6,1,1,1,1,NA,NA,10,23mar2020,1,3,2020,23,Busan,0,3.713572,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,1,7.4187e-4,-0.03437155,-0.02064689,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-24,Busan,KOR,104,1,63,40,35.202,129.081,1,3410925,0,0,1,0,1,0.25,1,1,1,6,1,1,1,1,NA,NA,10,24mar2020,2,3,2020,24,Busan,0,3.688879,1,0,0.0243902,0.0243902,-0.0246925,0,0,0,0,NA,NA,1,1,0,1,0.01281884,-0.03437155,-0.00833361,KOR,0.0243902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-25,Busan,KOR,104,2,65,37,35.202,129.081,0,3410925,0,0,1,0,1,0.25,1,1,1,6,1,1,1,1,NA,NA,10,25mar2020,3,3,2020,25,Busan,0,3.610918,0,NA,0,0,-0.0779617,0,0,0,0,NA,NA,1,1,0,1,-0.01578081,-0.03437155,-0.0041242,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-26,Busan,KOR,105,2,71,32,35.202,129.081,1,3410925,0,0,1,0,1,0.25,1,1,1,6,1,1,1,1,NA,NA,10,26mar2020,4,3,2020,26,Busan,0,3.465736,1,0,0.027027,0.027027,-0.1451819,0,0,0,0,NA,NA,1,1,0,1,0.01061023,-0.03437155,-0.00348821,KOR,0.027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-27,Busan,KOR,111,2,77,32,35.202,129.081,6,3410925,0,0,1,0,1,0.5,1,1,1,7,1,1,1,1,NA,NA,10,27mar2020,5,3,2020,27,Busan,0,3.465736,6,1.791759,0.1875,0.1875,0,0,0,0,1,NA,NA,1,1,0,1,0.16738673,-0.03437155,0.03390352,KOR,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-28,Busan,KOR,113,3,81,29,35.202,129.081,2,3410925,0,0,1,0,1,0.5,1,1,1,7,1,1,1,1,NA,NA,10,28mar2020,6,3,2020,28,Busan,0,3.367296,2,0.6931472,0.0625,0.0625,-0.0984402,0,0,0,0,NA,NA,1,1,0,1,0.03913442,-0.03437155,-0.00158444,KOR,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-29,Busan,KOR,115,3,85,27,35.202,129.081,2,3410925,0,0,1,0,1,0.5,1,1,1,7,1,1,1,1,NA,NA,10,29mar2020,0,3,2020,29,Busan,0,3.295837,2,0.6931472,0.0689655,0.0689655,-0.0714588,0,0,0,0,NA,NA,1,1,0,1,0.04020058,-0.03437155,0.00381491,KOR,0.0689655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-30,Busan,KOR,116,3,87,26,35.202,129.081,1,3410925,0,0,1,0,1,0.5,1,1,1,7,1,1,1,1,NA,NA,10,30mar2020,1,3,2020,30,Busan,0,3.258096,1,0,0.037037,0.037037,-0.0377405,0,0,0,0,NA,NA,1,1,0,1,0.0327339,-0.03437155,-0.02064689,KOR,0.037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-31,Busan,KOR,119,3,87,29,35.202,129.081,3,3410925,0,0,1,0,1,0.5,1,1,1,7,1,1,1,1,NA,NA,10,31mar2020,2,3,2020,31,Busan,0,3.367296,3,1.098612,0.1091993,0.1153846,0.1091993,0,0,0,0,NA,NA,1,1,0,1,0.09258287,-0.03437155,-0.00833361,KOR,0.1091993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-01,Busan,KOR,119,3,87,29,35.202,129.081,0,3410925,0,0,1,0,1,0.75,1,1,1,7,1,1,1,1,NA,NA,10,01apr2020,3,4,2020,1,Busan,0,3.367296,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,1,-0.02587083,-0.03437155,-0.0041242,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-02,Busan,KOR,119,3,87,29,35.202,129.081,0,3410925,0,0,1,0,1,0.75,1,1,1,7,1,1,1,1,NA,NA,10,02apr2020,4,4,2020,2,Busan,0,3.367296,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,1,-0.02650682,-0.03437155,-0.00348821,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-03,Busan,KOR,119,3,88,28,35.202,129.081,0,3410925,0,0,1,0,1,0.75,1,1,1,7,1,1,1,1,NA,NA,10,03apr2020,5,4,2020,3,Busan,0,3.332205,0,NA,0,0,-0.0350912,0,0,0,0,NA,NA,1,1,0,1,-0.06389856,-0.03437155,0.03390352,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-04,Busan,KOR,119,3,90,26,35.202,129.081,0,3410925,0,0,1,0,1,0.75,1,1,1,7,1,1,1,1,NA,NA,10,04apr2020,6,4,2020,4,Busan,0,3.258096,0,NA,0,0,-0.0741081,0,0,0,0,NA,NA,1,1,0,1,-0.0284106,-0.03437155,-0.00158444,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-05,Busan,KOR,119,3,90,26,35.202,129.081,0,3410925,0,0,1,0,1,1,1,1,1,7,1,1,1,1,NA,NA,10,05apr2020,0,4,2020,5,Busan,0,3.258096,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,1,-0.03885496,-0.03437155,0.00381491,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-04-06,Busan,KOR,120,3,91,26,35.202,129.081,1,3410925,0,0,1,0,1,1,1,1,1,7,1,1,1,1,NA,NA,10,06apr2020,1,4,2020,6,Busan,0,3.258096,1,0,0.0384615,0.0384615,0,0,0,0,0,NA,NA,1,1,0,1,0.02406838,-0.03437155,-0.02064689,KOR,0.0384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-02-28,Chungcheongbuk-do,KOR,10,0,0,10,36.701,127.818,0,1598599,0,0,1,0,0,0,1,0,0,4,1,1,1,0,NA,NA,5,28feb2020,5,2,2020,28,Chungcheongbuk-do,0,2.302585,0,NA,0,0,0,0,0,0,0,NA,NA,0,1,0,0,-0.11928573,-0.02621328,0.03390352,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-02-29,Chungcheongbuk-do,KOR,11,0,0,11,36.701,127.818,1,1598599,0,0,1,0,0,0,1,0,1,5,1,1,1,0,NA,NA,6,29feb2020,6,2,2020,29,Chungcheongbuk-do,0,2.397895,1,0,0.0953102,0.1,0.0953102,0,1,0,0,NA,NA,1,1,0,0,-0.00764225,-0.02621328,-0.00158444,KOR,0.0953102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-01,Chungcheongbuk-do,KOR,11,0,0,11,36.701,127.818,0,1598599,0,0,1,0,0,0,1,0,1,5,1,1,1,0,NA,NA,6,01mar2020,0,3,2020,1,Chungcheongbuk-do,0,2.397895,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,0,-0.06840914,-0.02621328,0.00381491,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-02,Chungcheongbuk-do,KOR,11,0,0,11,36.701,127.818,0,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,02mar2020,1,3,2020,2,Chungcheongbuk-do,0,2.397895,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,0,-0.04394734,-0.02621328,-0.02064689,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-03,Chungcheongbuk-do,KOR,11,0,0,11,36.701,127.818,0,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,03mar2020,2,3,2020,3,Chungcheongbuk-do,0,2.397895,0,NA,0,0,0,0,0,0,0,NA,NA,1,1,0,0,-0.05626062,-0.02621328,-0.00833361,KOR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-04,Chungcheongbuk-do,KOR,12,0,1,11,36.701,127.818,1,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,04mar2020,3,3,2020,4,Chungcheongbuk-do,0,2.397895,1,0,0.0909091,0.0909091,0,0,0,0,0,NA,NA,1,1,0,0,0.03043907,-0.02621328,-0.0041242,KOR,0.0909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-05,Chungcheongbuk-do,KOR,15,0,1,14,36.701,127.818,3,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,05mar2020,4,3,2020,5,Chungcheongbuk-do,0,2.639057,3,1.098612,0.2411621,0.2727273,0.2411621,0,0,0,0,NA,NA,1,1,0,0,0.18005604,-0.02621328,-0.00348821,KOR,0.2411621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-06,Chungcheongbuk-do,KOR,20,0,1,19,36.701,127.818,5,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,06mar2020,5,3,2020,6,Chungcheongbuk-do,0,2.944439,5,1.609438,0.3053815,0.3571429,0.3053815,0,0,0,0,NA,NA,1,1,0,0,0.20688378,-0.02621328,0.03390352,KOR,0.3053815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
2020-03-07,Chungcheongbuk-do,KOR,24,0,2,22,36.701,127.818,4,1598599,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,07mar2020,6,3,2020,7,Chungcheongbuk-do,0,3.091043,4,1.386294,0.1466036,0.2105263,0.1466036,0,0,0,0,NA,NA,1,1,0,0,0.08359379,-0.02621328,-0.00158444,KOR,0.1466036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
